,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
74,Jordan Clarkson,58,1587,23.1,12.7,2.2,12.6,2.6,9.1,0.157,110,86,110,109.0,175.0,61.0,143.0,34.0,78.0,40.0,88.0,72,217
75,Darren Collison,49,1516,19.7,12.4,1.7,22.4,1.5,6.5,0.223,92,101,118,80.0,126.0,34.0,81.0,20.0,43.0,59.0,133.0,61,145
76,Mike Conley,46,1503,26.1,12.1,2.1,34.6,1.8,10.7,0.35,78,199,231,78.0,130.0,37.0,87.0,25.0,62.0,42.0,115.0,109,266
77,Pat Connaughton,27,195,11.0,12.3,1.0,10.8,5.0,12.7,0.231,13,7,9,10.0,16.0,1.0,3.0,0.0,1.0,0.0,2.0,7,16
78,DeMarcus Cousins,55,1891,37.5,13.2,2.0,27.9,7.1,29.1,0.491,203,423,549,224.0,365.0,104.0,255.0,18.0,65.0,64.0,164.0,95,268
79,Robert Covington,50,1554,18.7,14.4,3.0,8.0,5.1,16.8,0.222,149,91,115,80.0,139.0,12.0,49.0,3.0,9.0,3.0,13.0,98,300
80,Allen Crabbe,56,1594,14.9,9.0,1.0,6.5,1.0,9.8,0.213,124,83,96,43.0,66.0,16.0,45.0,11.0,31.0,48.0,105.0,86,200
81,Jamal Crawford,56,1504,23.2,13.0,1.4,16.6,1.0,5.9,0.214,79,112,133,34.0,58.0,28.0,77.0,32.0,77.0,80.0,186.0,78,227
82,Jae Crowder,47,1527,16.6,8.3,1.6,9.9,2.2,15.9,0.254,108,103,119,71.0,88.0,7.0,22.0,5.0,16.0,28.0,77.0,106,262
83,Dante Cunningham,42,1056,11.0,7.2,1.0,3.9,3.5,14.2,0.059,69,8,14,35.0,61.0,9.0,23.0,2.0,6.0,10.0,26.0,47,121
84,Seth Curry,52,1468,18.9,10.9,2.2,16.3,1.7,9.3,0.121,98,48,60,42.0,67.0,34.0,60.0,19.0,41.0,38.0,94.0,94,226
85,Stephen Curry,55,1838,29.0,12.7,2.4,29.1,2.1,11.4,0.256,120,228,249,,,,,,,,,220,537
86,Troy Daniels,43,742,22.1,7.2,1.0,6.5,1.9,6.9,0.139,59,36,44,6.0,18.0,4.0,10.0,5.0,14.0,21.0,53.0,87,222
87,Anthony Davis,53,1927,32.5,9.9,1.7,11.7,6.5,28.3,0.428,125,367,458,192.0,281.0,122.0,248.0,95.0,204.0,104.0,252.0,26,85
88,Deyonta Davis,25,183,13.2,14.9,0.3,1.7,10.3,21.7,0.385,31,8,15,16.0,26.0,3.0,5.0,0.0,1.0,1.0,7.0,0,0
89,Ed Davis,45,776,11.8,17.3,1.0,4.9,13.1,20.8,0.54,134,47,75,58.0,100.0,15.0,38.0,1.0,1.0,,,0,0
90,Dewayne Dedmon,50,865,12.6,14.1,1.6,4.7,11.0,31.2,0.365,121,46,65,87.0,123.0,16.0,38.0,4.0,10.0,4.0,7.0,0,0
91,Sam Dekker,58,1143,15.9,8.7,1.4,8.1,7.8,14.0,0.154,67,33,56,102.0,154.0,11.0,35.0,2.0,5.0,5.0,9.0,51,158
92,Malcolm Delaney,56,991,18.9,17.8,1.5,22.9,0.9,10.1,0.233,88,60,74,18.0,40.0,7.0,18.0,7.0,23.0,68.0,147.0,23,89
93,Matthew Dellavedova,50,1325,15.9,19.5,1.6,27.3,1.5,7.2,0.206,102,57,71,23.0,55.0,37.0,88.0,16.0,39.0,11.0,28.0,49,135
94,Luol Deng,54,1455,14.2,8.7,1.6,7.0,4.4,17.5,0.152,59,46,63,72.0,115.0,14.0,40.0,9.0,34.0,15.0,63.0,51,162
95,DeMar DeRozan,50,1775,34.2,8.6,1.6,19.3,3.1,13.9,0.407,95,364,431,102.0,148.0,116.0,250.0,129.0,268.0,125.0,318.0,19,75
96,Boris Diaw,48,872,15.6,22.1,0.8,18.4,3.6,9.1,0.112,59,19,24,54.0,78.0,13.0,32.0,8.0,16.0,5.0,30.0,15,57
97,Gorgui Dieng,57,1825,14.5,12.4,1.6,8.6,8.1,20.7,0.22,183,82,105,100.0,159.0,43.0,88.0,28.0,64.0,63.0,137.0,11,29
98,Spencer Dinwiddie,33,705,14.4,16.0,1.2,19.8,1.8,11.1,0.423,66,60,71,27.0,50.0,13.0,34.0,5.0,19.0,10.0,18.0,20,48
99,Toney Douglas,14,241,18.2,15.5,2.4,21.0,2.3,17.0,0.274,29,17,20,5.0,11.0,4.0,9.0,3.0,9.0,9.0,17.0,6,27
100,Goran Dragic,49,1680,26.6,15.3,1.5,31.0,2.4,10.0,0.331,137,193,246,125.0,201.0,63.0,133.0,57.0,131.0,36.0,92.0,80,187
101,Andre Drummond,56,1705,23.5,13.0,2.9,5.6,14.6,36.2,0.366,164,108,246,225.0,330.0,107.0,289.0,21.0,43.0,0.0,4.0,2,6
102,Jared Dudley,40,828,13.7,16.0,1.4,11.2,2.6,15.5,0.197,97,26,41,27.0,38.0,3.0,8.0,6.0,12.0,14.0,32.0,51,118
103,Mike Dunleavy,41,658,14.0,11.9,0.8,8.1,2.1,13.0,0.174,54,23,30,23.0,35.0,0.0,7.0,2.0,5.0,6.0,17.0,42,108
104,Kris Dunn,53,882,14.9,23.9,2.7,21.1,2.1,13.3,0.245,110,29,50,24.0,49.0,12.0,30.0,5.0,17.0,20.0,59.0,13,49
105,Kevin Durant,56,1912,27.8,10.4,1.6,22.4,2.1,22.9,0.374,107,311,355,203.0,255.0,54.0,113.0,68.0,154.0,81.0,144.0,107,286
106,Wayne Ellington,37,970,17.8,4.6,1.3,7.9,1.2,7.3,0.096,47,31,34,16.0,20.0,4.0,9.0,2.0,12.0,42.0,84.0,82,231
107,Monta Ellis,49,1331,16.0,18.9,1.7,17.8,0.7,10.7,0.273,99,74,94,52.0,79.0,30.0,58.0,12.0,33.0,30.0,89.0,24,79
108,Joel Embiid,31,786,36.2,17.9,1.7,16.4,8.5,25.6,0.569,112,191,244,89.0,140.0,30.0,81.0,27.0,73.0,18.0,37.0,36,98
109,James Ennis,44,1118,13.2,14.7,1.6,6.1,5.7,13.4,0.347,128,66,84,60.0,98.0,6.0,23.0,2.0,3.0,4.0,14.0,43,104
110,Tyler Ennis,31,196,19.5,26.9,1.5,24.5,2.3,8.5,0.047,29,2,3,14.0,21.0,5.0,19.0,0.0,3.0,0.0,5.0,6,16
111,Tyreke Evans,26,474,27.3,13.4,2.4,31.8,1.3,17.9,0.256,41,45,58,54.0,101.0,6.0,28.0,1.0,3.0,9.0,25.0,21,70
112,Dante Exum,42,779,17.7,15.3,0.9,14.1,2.3,8.7,0.159,97,31,37,58.0,101.0,9.0,18.0,3.0,8.0,4.0,9.0,26,96
113,Kenneth Faried,47,1048,17.3,10.9,1.6,5.9,15.6,24.3,0.54,101,115,167,135.0,210.0,35.0,76.0,4.0,11.0,1.0,8.0,0,5
114,Derrick Favors,40,938,20.7,11.4,2.1,7.5,8.6,20.8,0.296,84,61,96,66.0,118.0,30.0,60.0,25.0,57.0,27.0,72.0,2,8
115,Kay Felder,35,342,22.4,13.2,1.9,20.7,1.0,10.0,0.341,35,32,45,22.0,43.0,1.0,17.0,7.0,18.0,17.0,34.0,7,20
116,Cristiano Felicio,48,753,12.5,10.1,1.2,5.7,14.0,19.6,0.478,83,51,77,73.0,112.0,7.0,19.0,2.0,6.0,6.0,21.0,0,0
117,Raymond Felton,54,1233,17.1,12.9,1.8,17.4,2.6,11.8,0.104,99,32,41,69.0,110.0,20.0,55.0,8.0,24.0,33.0,89.0,43,116
118,Yogi Ferrell,20,481,19.7,15.4,1.9,21.5,1.8,8.4,0.247,35,32,39,18.0,31.0,2.0,7.0,7.0,17.0,8.0,25.0,30,75
119,Dorian Finney-Smith,55,1143,11.1,12.7,1.6,6.1,3.2,11.9,0.221,93,36,47,34.0,51.0,6.0,15.0,0.0,5.0,4.0,13.0,40,128
120,Evan Fournier,45,1488,23.7,12.8,1.4,17.1,2.2,8.8,0.29,126,146,178,100.0,166.0,38.0,96.0,22.0,45.0,28.0,76.0,74,216
